ISO3,Rate1990,Rate1991,Rate1992,Rate1993,Rate1994,Rate1995,Rate1996,Rate1997,Rate1998,Rate1999,Rate2000,Rate2001,Rate2002,Rate2003,Rate2004,Rate2005,Rate2006,Rate2007,Rate2008,Rate2009,Rate2010,Rate2011,Rate2012,Rate2013,Rate2014,Rate2015,Rate2016,Rate2017
BFA,13.759294739247286,13.449430251338082,13.366257951410496,13.338824990890414,13.341108107157298,13.381785405443726,13.368278476396265,13.461450240457523,13.574338023331036,13.415615483258833,13.336573298363206,13.173020933317966,13.005863075549827,12.930692198474594,12.861187748895714,12.734927335292628,12.724952643140297,12.630749081631125,12.568250373427215,12.52669006775877,12.741847420404389,12.783872038250829,13.049462014877257,13.147625133341691,13.227144609102666,13.26031207015843,13.29497398851134,13.21111045182668
BDI,20.27244423624358,20.17021873054509,20.05588859064834,20.23813227058685,20.24589956758676,20.372383878984497,20.327880440682023,19.911378840503456,19.35097209227465,18.555751587810914,17.82252737191016,16.949535194203758,16.32174861479255,15.861234271097285,15.584295071693456,15.33208634178004,14.757397183272897,14.37578183880512,14.010554120894712,13.638256693472147,13.479748996678154,13.394375194168289,13.278285992598326,13.094205376440238,12.925318531848664,12.815605952466504,12.673712227365607,12.617335731511533
KHM,6.569302935551424,6.4797070304665585,6.413757689887966,6.38697477037315,6.352802159322862,6.317344593505953,6.2105716317913275,6.09529991260467,5.989912320323396,5.85970355901379,5.733103998519319,5.612885047912895,5.4979625387740105,5.385904000027605,5.292885366472593,5.2024353592681605,5.098078308778414,5.017193617965566,4.930200209869068,4.876436354078202,4.819798459277108,4.77755943654204,4.728621180969161,4.682565064996354,4.649401144221036,4.620922372038541,4.590873787051586,4.54430265351793
CMR,12.95014452806906,13.33956273888522,13.82552518961309,14.205416095676387,14.614839238216884,15.023070138456466,15.417673996161882,15.844017505630008,16.115663152860584,16.219331292100524,16.32179915970092,16.138900026869777,15.9688794076293,15.8145406404392,15.744802697759152,15.752466424516877,15.75484999280886,15.703067918497498,15.638920300804878,15.596666306157996,15.544777188363174,15.35598699236774,15.1288097812696,14.88178806464255,14.699431821360385,14.441415008188637,14.262693659874005,14.029937549465512
CAN,13.206762506040482,13.186295557428512,13.272053247533718,13.492822479689512,13.374561741735068,13.423179866049546,13.298012537609974,13.063152507864624,12.84012505456256,12.785623096537789,12.267625179198555,12.091184140656203,11.865738725046832,11.866176720141896,11.576420817870597,11.584015968927435,11.200859883599138,11.233349883451526,11.202356876344547,11.138583428441793,10.939681299614277,10.663126036014493,10.914579427100824,10.82001543178961,11.16773412193814,11.316168461035485,11.065493408182176,10.905194829915548
CPV,12.628030418340298,12.90651264364924,13.13218316499816,13.591571552178593,14.103457722462537,14.587364640718649,15.044921802581705,15.428251937620278,15.571523039986898,15.661508788338978,15.67808786283148,16.137734980552278,16.301465070419013,16.437335320929026,16.553060724573925,16.717795608020843,16.875792139537303,16.947146926107866,17.0449798495511,17.156544899445766,17.287067710730035,17.32584027915906,17.254441829148575,17.14589476175809,17.03131767977602,16.905312534799517,16.810545127698113,16.76617486159914
CAF,16.651179953974903,17.07309304042152,17.142904020027736,17.574673541763637,17.66781242472181,17.55622161221356,17.88939680893613,17.71506333395463,17.93541796794038,18.095107579808,17.850952180849543,17.79678869862258,17.885469054535665,17.790974121560325,17.663050464629027,17.62065055477309,17.642265348567715,17.415057149772053,17.20477076994768,17.20822734210883,17.444437326987487,17.477739117256,17.262637833841193,17.359532528704193,17.252182465702692,17.17502715714074,17.0538984328589,16.926897366659137
TCD,8.541026675107044,8.413368772803446,8.614728143010598,8.923566091610013,9.016221979640756,9.165286689731936,9.84593448642076,10.379982575423456,10.836427339653731,11.283826860729878,11.583095502593611,11.717641844436477,11.76066999281511,11.911436310468243,11.796383470522278,11.639304011254731,11.51671746380342,11.586742331479718,11.60986133727102,11.634989289127716,11.767838774788112,11.674011100146826,11.552662565457814,11.35690947686278,11.242520355947295,11.12817763710455,11.05716501357167,11.023555933449682
CHL,23.195970831708177,20.913727704099777,19.298751567335035,19.28811002947986,18.628797317981327,18.19357759029329,17.189102016388336,15.85196365686984,15.00966122797156,14.033971544912902,12.84070035062783,12.604294297406383,11.801854698639069,11.682382826603714,11.572583049033794,11.283855014228475,11.204273536470929,11.37272396353248,11.458864243571083,11.83677861097109,11.36280668678252,10.86631856347988,10.404930505249352,10.236230588119788,10.105458150138674,10.10631238046463,10.147604371033426,10.138964176247889
CHN,20.923540232249955,21.166531065741136,21.34464344534384,21.176004201257328,20.818820249993017,20.353538360443764,19.354724198239538,18.25292802032614,17.132529870694462,15.782428422329184,14.25527217655989,12.310065105358042,11.287596577102248,11.381377723023697,11.573544276278303,11.066744007437675,10.306128993843744,9.720343305218725,9.351640471497989,9.12768811460418,8.865148670797787,8.36636933418401,7.95584526123783,7.636712475439903,7.540028585797194,7.420151367647718,7.255174144116428,7.206170018346429
